time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid
2016-11-13T22:28:10Z,-34.628419,-58.369438,24.0,8.0,,0.0,4,gps,,,,,,
2016-11-13T22:28:12Z,-34.628434,-58.369447,28.0,6.0,,0.0,0,gps,1,0.9,1.2,5.7,22.0,M
2016-11-13T22:28:21Z,-34.628432,-58.369450,29.0,14.0,,0.0,0,gps,1,0.9,1.2,5.9,22.0,M
2016-11-13T22:28:29Z,-34.628446,-58.369418,26.0,10.0,,0.0,5,gps,1,0.9,1.2,6.7,22.0,M
2016-11-13T22:28:37Z,-34.628454,-58.369459,28.0,15.0,,0.0,2,gps,1,0.9,1.5,3.8,22.0,M
2016-11-13T22:28:47Z,-34.628458,-58.369458,28.0,30.0,,0.0,8,gps,1.2,0.8,1.5,6.2,22.0,M
2016-11-13T22:28:56Z,-34.628786,-58.369820,23.0,23.0,218.6,12.81,7,gps,1.9,1.0,2.1,6.3,22.0,M
2016-11-13T22:29:05Z,-34.629705,-58.370906,18.0,29.0,222.2,11.52,5,gps,1.7,1.0,1.9,0.9,22.0,M
2016-11-13T22:29:15Z,-34.630764,-58.371749,52.0,22.0,220.1,3.76,10,gps,1.0,0.9,1.3,-3.7,22.0,M
2016-11-13T22:29:24Z,-34.630878,-58.372103,58.0,18.0,250.9,3.77,8,gps,1,,,29.7,22.0,M
2016-11-13T22:29:29Z,-34.630736,-58.372393,50.0,26.0,294.2,4.63,4,gps,1,0.9,1.5,35.8,22.0,M
2016-11-13T22:29:32Z,-34.630438,-58.372445,40.0,18.0,305.2,4.92,4,gps,1.3,1.0,1.6,28.4,22.0,M
2016-11-13T22:29:40Z,-34.630348,-58.372777,45.0,12.0,330.3,3.02,4,gps,1,,,17.7,22.0,M
2016-11-13T22:29:48Z,-34.629981,-58.372536,34.0,19.0,34.2,5.0,10,gps,1,0.9,1.4,22.5,22.0,M
2016-11-13T22:29:55Z,-34.629796,-58.372321,42.0,16.0,38.8,4.86,5,gps,1,0.9,1.4,11.9,22.0,M
2016-11-13T22:29:58Z,-34.629674,-58.372189,41.0,20.0,42.4,6.11,1,gps,7.5,1.0,7.6,19.8,22.0,M
2016-11-13T22:30:04Z,-34.629424,-58.372085,34.0,15.0,53.8,3.02,2,gps,1,,,19.3,22.0,M
2016-11-13T22:30:08Z,-34.629464,-58.372069,36.0,10.0,82.5,1.91,7,gps,1,1.0,3.2,12.5,22.0,M
2016-11-13T22:30:15Z,-34.629919,-58.371878,44.0,15.0,168.5,8.94,9,gps,1,0.9,1.3,13.5,22.0,M
2016-11-13T22:30:22Z,-34.630190,-58.371546,36.0,11.0,61.1,5.76,14,gps,1,0.8,1.3,22.3,22.0,M
2016-11-13T22:30:26Z,-34.630116,-58.371401,25.0,8.0,43.1,4.32,4,gps,2.0,1.0,2.2,13.5,22.0,M
2016-11-13T22:30:34Z,-34.629949,-58.371197,19.0,10.0,40.1,3.01,3,gps,1,,,2.8,22.0,M
2016-11-13T22:30:36Z,-34.629900,-58.371129,15.0,6.0,45.1,2.36,4,gps,1,0.8,1.1,-2.8,22.0,M
2016-11-13T22:30:44Z,-34.629804,-58.371065,17.0,12.0,46.1,1.16,14,gps,1,0.9,9.8,-7.1,22.0,M
2016-11-13T22:30:51Z,-34.629606,-58.370889,21.0,12.0,39.8,6.29,12,gps,1,0.8,1.1,-4.8,22.0,M
2016-11-13T22:30:58Z,-34.629041,-58.370256,23.0,5.0,41.5,13.88,5,gps,1,0.8,1.1,-1.4,22.0,M
2016-11-13T22:31:03Z,-34.628532,-58.369709,22.0,7.0,39.4,12.49,8,gps,1,0.8,1.1,1.1,22.0,M
2016-11-13T22:31:09Z,-34.628032,-58.369173,22.0,5.0,43.2,10.0,7,gps,1.1,0.9,1.5,0.1,22.0,M
2016-11-13T22:31:16Z,-34.627685,-58.368813,29.0,6.0,48.1,5.58,8,gps,1,,,-0.0,22.0,M
2016-11-13T22:31:23Z,-34.627461,-58.368511,35.0,3.0,52.4,4.76,8,gps,1,0.9,1.5,6.9,22.0,M
2016-11-13T22:31:31Z,-34.627370,-58.368193,51.0,8.0,98.7,3.97,5,gps,1,0.8,1.3,13.2,22.0,M
2016-11-13T22:31:36Z,-34.627578,-58.367801,46.0,7.0,126.0,9.7,12,gps,1,0.9,1.2,29.2,22.0,M
2016-11-13T22:31:42Z,-34.627942,-58.367162,44.0,9.0,129.3,10.05,9,gps,1,0.9,1.4,24.4,22.0,M
2016-11-13T22:31:49Z,-34.628190,-58.366791,43.0,6.0,146.2,4.71,6,gps,1,0.9,1.5,22.2,22.0,M
2016-11-13T22:31:55Z,-34.628437,-58.366825,42.0,8.0,216.2,5.59,5,gps,1,0.9,1.5,21.3,22.0,M
2016-11-13T22:32:01Z,-34.628792,-58.367070,35.0,7.0,213.1,8.17,6,gps,1,1.0,2.1,20.2,22.0,M
2016-11-13T22:32:07Z,-34.629175,-58.367470,28.0,3.0,215.9,7.87,6,gps,1,0.9,1.8,12.8,22.0,M
2016-11-13T22:32:15Z,-34.629455,-58.367903,28.0,10.0,253.2,6.67,5,gps,1,0.8,1.2,6.2,22.0,M
2016-11-13T22:32:22Z,-34.629575,-58.368431,28.0,12.0,256.6,5.7,4,gps,1,1.0,1.9,5.8,22.0,M
2016-11-13T22:32:29Z,-34.629634,-58.368743,37.0,15.0,204.9,3.17,10,gps,1,0.9,1.6,5.9,22.0,M
2016-11-13T22:32:36Z,-34.629969,-58.368627,40.0,16.0,167.1,7.95,2,gps,1,0.9,1.4,15.2,22.0,M
2016-11-13T22:32:39Z,-34.630215,-58.368600,38.0,16.0,172.1,9.25,0,gps,1,0.9,1.5,17.7,22.0,M
2016-11-13T22:32:43Z,-34.630496,-58.368546,28.0,15.0,176.9,7.02,3,gps,1,1.0,1.8,15.9,22.0,M
2016-11-13T22:32:49Z,-34.630969,-58.368378,25.0,7.0,170.3,8.03,1,gps,500.0,500.0,500.0,6.3,22.0,M
2016-11-13T22:33:06Z,-34.631571,-58.368788,24.0,5.0,262.6,8.85,15,gps,1,500.0,500.0,3.1,22.0,M
2016-11-13T22:33:14Z,-34.631718,-58.369178,29.0,10.0,255.4,5.77,11,gps,0.8,0.9,1.2,1.6,22.0,M
2016-11-13T22:33:17Z,-34.631716,-58.369438,29.0,12.0,270.9,7.6,0,gps,1,,,7.3,22.0,M
2016-11-13T22:33:18Z,-34.631686,-58.369551,29.0,11.0,273.1,7.45,2,gps,1,1.0,1.6,7.2,22.0,M
2016-11-13T22:33:19Z,-34.631729,-58.369609,29.0,9.0,258.2,6.84,9,gps,1,0.9,1.5,6.6,22.0,M
2016-11-13T22:33:20Z,-34.631727,-58.369711,31.0,10.0,259.2,6.49,11,gps,1,0.9,1.3,7.4,22.0,M
2016-11-13T22:33:21Z,-34.631742,-58.369774,31.0,11.0,253.9,6.08,11,gps,1,0.9,1.5,8.6,22.0,M
2016-11-13T22:33:22Z,-34.631757,-58.369824,30.0,11.0,258.0,5.23,11,gps,1,0.9,1.4,9.0,22.0,M
2016-11-13T22:33:23Z,-34.631762,-58.369858,29.0,10.0,243.6,3.44,12,gps,1,0.9,1.3,8.5,22.0,M
2016-11-13T22:33:24Z,-34.631781,-58.369927,30.0,10.0,245.6,4.31,13,gps,1,0.9,1.2,6.8,22.0,M
